apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.js +113,Stock Entries,የክምችት ግቤቶችን
DocType: Fiscal Year Company,Fiscal Year Company,በጀት ዓመት ኩባንያ
DocType: Sales Order,Recurring Order,ተደጋጋሚ ትዕዛዝ
apps/erpnext/erpnext/accounts/party.py +242,There can only be 1 Account per Company in {0} {1},ብቻ በ ኩባንያ በአንድ 1 መለያ ሊኖር ይችላል {0} {1}
DocType: Supplier,Name and Type,ስም እና አይነት
apps/erpnext/erpnext/accounts/doctype/cost_center/cost_center_tree.js +24,Further cost centers can be made under Groups but entries can be made against non-Groups,ተጨማሪ ወጪ ማዕከላት ቡድኖች ስር ሊሆን ይችላል ነገር ግን ግቤቶች ያልሆኑ ቡድኖች ላይ ሊሆን ይችላል
apps/erpnext/erpnext/config/hr.py +137,Appraisals,ማስተመኖች
DocType: Stock Reconciliation Item,Before reconciliation,እርቅ በፊት
DocType: Payment Reconciliation Payment,Reference Row,ማጣቀሻ ረድፍ
apps/erpnext/erpnext/hr/doctype/employee/employee.py +151,Employee cannot report to himself.,የተቀጣሪ ራሱን ሪፖርት አይችልም.
DocType: Address,Office,ቢሮ
apps/erpnext/erpnext/controllers/status_updater.py +161,Note: System will not check over-delivery and over-booking for Item {0} as quantity or amount is 0,ማስታወሻ: {0} ብዛት ወይም መጠን 0 ነው እንደ የመላኪያ-ደጋግሞ-ማስያዣ ንጥል ለ ስርዓት ይመልከቱ አይደለም
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.py +623,Can only make payment against unbilled {0},ብቻ ላይ ክፍያ ማድረግ ትችላለህ ያለተጠየቀበት {0}
apps/erpnext/erpnext/config/stock.py +309,Batch Inventory,ባች ቆጠራ
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py +71,Max discount allowed for item: {0} is {1}%,ንጥል የሚፈቀደው ከፍተኛ ቅናሽ: {0} {1}% ነው
apps/erpnext/erpnext/stock/doctype/item/item.py +236,Asset Category is mandatory for Fixed Asset item,የንብረት ምድብ ቋሚ ንብረት ንጥል ግዴታ ነው
DocType: Sales Order,Customer's Purchase Order Date,ደንበኛ የግዢ ትዕዛዝ ቀን
apps/erpnext/erpnext/buying/doctype/purchase_order/purchase_order.js +758,Invoice,የዋጋ ዝርዝር
DocType: Payment Entry Reference,Payment Entry Reference,የክፍያ Entry ማጣቀሻ
apps/erpnext/erpnext/accounts/report/asset_depreciations_and_balances/asset_depreciations_and_balances.py +119,Cost as on,እንደ ላይ ወጪ
DocType: POS Profile,Customer Groups,የደንበኛ ቡድኖች
DocType: Project Task,Pending Review,በመጠባበቅ ላይ ያለ ክለሳ
DocType: Hub Settings,Publish Items to Hub,ማዕከል ንጥሎች አትም
DocType: Stock Entry,Subcontract,በሰብ
DocType: Request for Quotation,Message for Supplier,አቅራቢ ለ መልዕክት
DocType: POS Profile,Write Off Cost Center,ወጪ ማዕከል ጠፍቷል ይጻፉ
DocType: Production Order Operation,Planned End Time,የታቀደ መጨረሻ ሰዓት
apps/erpnext/erpnext/stock/doctype/packing_slip/packing_slip.js +51,Case No. cannot be 0,የጉዳይ ቁጥር 0 መሆን አይችልም
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py +213,Serial No {0} has already been received,ተከታታይ አይ {0} አስቀድሞ ደርሷል
apps/erpnext/erpnext/config/projects.py +40,Types of activities for Time Logs,ጊዜ ምዝግብ እንቅስቃሴዎች አይነቶች
DocType: Target Detail,Target Detail,ዒላማ ዝርዝር
apps/erpnext/erpnext/accounts/page/pos/pos.js +1542,"LocalStorage is full , did not save","የአካባቢ ማከማቻ ሙሉ ነው, ሊያድን አይችልም ነበር"
apps/erpnext/erpnext/controllers/buying_controller.py +80,Tax Category can not be 'Valuation' or 'Valuation and Total' as all items are non-stock items,ሁሉም ንጥሎች ያልሆኑ የአክሲዮን ንጥሎች እንደ የግብር ምድብ &#39;ግምቱ&#39; ወይም &#39;ግምቱ እና ጠቅላላ&#39; ሊሆን አይችልም
,Material Requests for which Supplier Quotations are not created,አቅራቢው ጥቅሶች የተፈጠሩ አይደሉም ይህም ቁሳዊ ጥያቄዎች
apps/erpnext/erpnext/public/js/setup_wizard.js +162,The Brand,የምርት
DocType: Sales Invoice Timesheet,Timesheet Detail,Timesheet ዝርዝር
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.py +42,"Buying must be checked, if Applicable For is selected as {0}","የሚመለከታቸው ያህል ሆኖ ተመርጧል ከሆነ መግዛትና, ምልክት መደረግ አለበት {0}"
DocType: Payment Reconciliation,To Invoice Date,ቀን ደረሰኝ
apps/erpnext/erpnext/stock/get_item_details.py +293,Price List Currency not selected,የዋጋ ዝርዝር ምንዛሬ አልተመረጠም
DocType: GL Entry,Against Voucher Type,ቫውቸር አይነት ላይ
DocType: Vehicle Service,Engine Oil,የሞተር ዘይት
apps/erpnext/erpnext/accounts/doctype/journal_entry/journal_entry.py +731,No Permission,ምንም ፍቃድ
DocType: Warehouse,A logical Warehouse against which stock entries are made.,የአክሲዮን ግቤቶች አደረገ ናቸው ላይ አንድ ምክንያታዊ መጋዘን.
DocType: Payment Entry,PE-,PE-
apps/erpnext/erpnext/hr/doctype/appraisal/appraisal.py +50,Total weightage assigned should be 100%. It is {0},100% መሆን አለበት የተመደበ ጠቅላላ weightage. ይህ ነው {0}
,Ordered Items To Be Billed,የዕቃው ንጥሎች እንዲከፍሉ ለማድረግ
DocType: Delivery Note,% of materials delivered against this Delivery Note,ቁሳቁሶችን% ይህን የመላኪያ ማስታወሻ ላይ አሳልፎ
DocType: Hub Settings,Seller Name,የሻጭ ስም
DocType: Item,Serial Number Series,መለያ ቁጥር ተከታታይ
DocType: Program,Courses,ኮርሶች
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +453,Leave Blocked,ውጣ የታገዱ
apps/erpnext/erpnext/accounts/doctype/asset/asset.js +263,Target Warehouse,ዒላማ መጋዘን
DocType: Leave Control Panel,New Leaves Allocated (In Days),(ቀኖች ውስጥ) የተመደበ አዲስ ቅጠሎች
DocType: Sales Order Item,Gross Profit,አጠቃላይ ትርፍ
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +153,Row #{0}: Set Supplier for item {1},የረድፍ # {0}: ንጥል አዘጋጅ አቅራቢው {1}
DocType: Item,"Example: ABCD.#####
If series is set and Serial No is not mentioned in transactions, then automatic serial number will be created based on this series. If you always want to explicitly mention Serial Nos for this item. leave this blank.","ምሳሌ:. ተከታታይ ከተዋቀረ እና ተከታታይ ምንም ግብይቶች ላይ የተጠቀሰው አይደለም ከሆነ ለልጆች #####, ከዚያም ራስ-ሰር መለያ ቁጥር በዚህ ተከታታይ ላይ የተመሠረተ ይፈጠራል. ሁልጊዜ በግልጽ ለዚህ ንጥል መለያ ቁጥሮች መጥቀስ የሚፈልጉ ከሆነ. ይህንን ባዶ ይተዉት."
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py +131,Successfully Reconciled,በተሳካ ሁኔታ የታረቀ
DocType: Manufacturing Settings,Allow Production on Holidays,በዓላት ላይ ምርት ፍቀድ
apps/erpnext/erpnext/setup/doctype/email_digest/templates/default.html +97,Upcoming Calendar Events,መጪ የቀን መቁጠሪያ ክስተቶች
DocType: Quality Inspection Reading,Reading 5,5 ማንበብ
apps/erpnext/erpnext/stock/doctype/stock_entry/stock_entry.py +160,Source and target warehouse cannot be same for row {0},የመነሻ እና የመድረሻ መጋዘን ረድፍ ጋር ተመሳሳይ መሆን አይችልም {0}
apps/erpnext/erpnext/accounts/report/budget_variance_report/budget_variance_report.py +56,Total Target,ጠቅላላ ዒላማ
DocType: Terms and Conditions,Terms and Conditions Help,ውሎች እና ሁኔታዎች እገዛ
apps/erpnext/erpnext/accounts/page/pos/pos.js +72, is mandatory. Maybe Currency Exchange record is not created for ,የግዴታ ነው. ምናልባት የገንዘብ ምንዛሪ መዝገብ አልተፈጠረም ነው
apps/erpnext/erpnext/public/js/setup_wizard.js +298,Kg,ኪግ
DocType: Delivery Note,In Words (Export) will be visible once you save the Delivery Note.,የ የመላኪያ ማስታወሻ ማስቀመጥ አንዴ ቃላት (ላክ) ውስጥ የሚታይ ይሆናል.
DocType: Vehicle Service,Brake Oil,ፍሬን ኦይል
DocType: Stock Entry,Including items for sub assemblies,ንዑስ አብያተ ክርስቲያናት ለ ንጥሎችን በማካተት ላይ
apps/erpnext/erpnext/hub_node/doctype/hub_settings/hub_settings.py +69,Publish to sync items,ንጥሎችን ለማስመር ያትሙ
DocType: Territory,Territory Targets,ግዛት ዒላማዎች
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +215,Only the selected Leave Approver can submit this Leave Application,ብቻ የተመረጠው ፈቃድ አጽዳቂ ይህ ፈቃድ ማመልከቻ ማስገባት ይችላሉ
apps/erpnext/erpnext/controllers/accounts_controller.py +241,{0} '{1}' is disabled,{0} »{1}» ተሰናክሏል
apps/erpnext/erpnext/accounts/page/pos/pos.js +461,Please select Apply Discount On,ቅናሽ ላይ ተግብር እባክዎ ይምረጡ
apps/erpnext/erpnext/buying/doctype/purchase_common/purchase_common.py +69,Warehouse is mandatory for stock Item {0} in row {1},የመጋዘን ረድፍ ውስጥ የአክሲዮን ንጥል {0} ግዴታ ነው {1}
apps/erpnext/erpnext/config/desktop.py +158,Learn,ይወቁ
apps/erpnext/erpnext/selling/report/customer_acquisition_and_loyalty/customer_acquisition_and_loyalty.py +62,Total Revenue,ጠቅላላ ገቢ
DocType: BOM Item,"See ""Rate Of Materials Based On"" in Costing Section",ተመልከት የኳንቲቲ ክፍል ውስጥ &quot;ቁሳቁሶች መሰረት ያደረገ ላይ ነው ይስጡት&quot;
apps/erpnext/erpnext/config/manufacturing.py +13,Orders released for production.,ትዕዛዞች ምርት ከእስር.
DocType: Payment Reconciliation Payment,Reference_name,Reference_name
,Item-wise Sales Register,ንጥል-ጥበብ የሽያጭ መመዝገቢያ
DocType: Production Order Operation,Work In Progress,ገና በሂደት ላይ ያለ ስራ
DocType: Announcement,Student,ተማሪ
DocType: Journal Entry,Entry Type,ግቤት አይነት
,Terretory,Terretory
DocType: Supplier,SUPP-,SUPP-
DocType: Delivery Note,Delivery To,ወደ መላኪያ
apps/erpnext/erpnext/hr/doctype/employee/employee.py +110,Date Of Retirement must be greater than Date of Joining,ጡረታ መካከል ቀን በመቀላቀል ቀን የበለጠ መሆን አለበት
apps/erpnext/erpnext/public/js/setup_wizard.js +60,Financial Year Start Date,የፋይናንስ ዓመት መጀመሪያ ቀን
apps/erpnext/erpnext/hr/doctype/salary_slip/salary_slip.py +223,There are more holidays than working days this month.,ተከታታይ የሥራ ቀናት በላይ በዓላት በዚህ ወር አሉ.
apps/erpnext/erpnext/setup/utils.py +107,Unable to find exchange rate for {0} to {1} for key date {2},ለ ምንዛሬ ተመን ማግኘት አልተቻለም {0} ወደ {1} ቁልፍ ቀን {2}
,Cash Flow,የገንዘብ ፍሰት
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py +60,Age,ዕድሜ
apps/erpnext/erpnext/accounts/report/balance_sheet/balance_sheet.py +28,Unclosed Fiscal Years Profit / Loss (Credit),ያልተዘጋ የፊስካል ዓመት ትርፍ / ኪሣራ (ምንጭ)
apps/erpnext/erpnext/accounts/doctype/gl_entry/gl_entry.py +143,Balance for Account {0} must always be {1},መለያ ቀሪ {0} ሁልጊዜ መሆን አለበት {1}
apps/erpnext/erpnext/accounts/doctype/payment_entry/payment_entry.js +152,Cannot refer row number greater than or equal to current row number for this Charge type,ይህ የክፍያ ዓይነት የአሁኑ ረድፍ ቁጥር ይበልጣል ወይም እኩል ረድፍ ቁጥር ሊያመለክት አይችልም
DocType: Journal Entry Account,Sales Invoice,የሽያጭ ደረሰኝ
DocType: Fee Structure,FS.,FS.
DocType: Production Plan Item,Production Plan Item,የምርት ዕቅድ ንጥል
DocType: Journal Entry,Opening Entry,በመክፈት ላይ የሚመዘገብ መረጃ
DocType: Employee Education,Post Graduate,በድህረ ምረቃ
apps/erpnext/erpnext/accounts/doctype/account/chart_of_accounts/verified/standard_chart_of_accounts.py +26,Loans and Advances (Assets),ብድር እና እድገት (እሴቶች)
apps/erpnext/erpnext/accounts/doctype/asset/asset.py +76,Please set Number of Depreciations Booked,Depreciations ብዛት የተመዘገበ ማዘጋጀት እባክዎ
DocType: Stock Entry,Delivery Note No,የመላኪያ ማስታወሻ የለም
apps/erpnext/erpnext/controllers/stock_controller.py +288,Quality Inspection required for Item {0},ንጥል ያስፈልጋል ጥራት ምርመራ {0}
DocType: Purchase Invoice Item,Landed Cost Voucher Amount,አርፏል ወጪ ቫውቸር መጠን
DocType: Expense Claim,Expense Approver,የወጪ አጽዳቂ
DocType: Maintenance Visit,Purposes,ዓላማዎች
DocType: Task,Actual End Date (via Time Sheet),ትክክለኛው መጨረሻ ቀን (ሰዓት ሉህ በኩል)
DocType: Leave Application,Total Leave Days,ጠቅላላ ፈቃድ ቀናት
apps/erpnext/erpnext/accounts/print_format/payment_receipt_voucher/payment_receipt_voucher.html +27,Authorized Signatory,የተፈቀደላቸው የፈራሚ
apps/erpnext/erpnext/controllers/recurring_document.py +174,Next Date must be greater than Posting Date,ቀጣይ ቀን መለጠፍ ቀን የበለጠ መሆን አለበት
apps/erpnext/erpnext/setup/doctype/email_digest/email_digest.js +64,disabled user,ተሰናክሏል ተጠቃሚ
apps/erpnext/erpnext/controllers/buying_controller.py +152,Supplier Warehouse mandatory for sub-contracted Purchase Receipt,ንዑስ-በኮንትራት የግዢ ደረሰኝ ለማግኘት የግዴታ በአቅራቢዎች መጋዘን
DocType: Sales Invoice Item,Sales Order Item,የሽያጭ ትዕዛዝ ንጥል
DocType: Leave Control Panel,Leave blank if considered for all employee types,ሁሉም ሠራተኛ አይነቶች ተደርጎ ከሆነ ባዶውን ይተው
apps/erpnext/erpnext/accounts/report/cash_flow/cash_flow.py +29,Net Cash from Investing,ንዋይ ከ የተጣራ ገንዘብ
DocType: Purchase Receipt Item,Rate and Amount,ደረጃ ይስጡ እና መጠን
DocType: Mode of Payment,General,ጠቅላላ
apps/erpnext/erpnext/stock/doctype/batch/batch.py +16,The selected item cannot have Batch,የተመረጠው ንጥል ባች ሊኖረው አይችልም
apps/erpnext/erpnext/controllers/sales_and_purchase_return.py +80,Row # {0}: Returned Item {1} does not exists in {2} {3},የረድፍ # {0}: ተመለሱ ንጥል {1} አይደለም ውስጥ አለ ነው {2} {3}
apps/erpnext/erpnext/setup/doctype/company/company.py +45,Abbreviation is mandatory,ምህጻረ ቃል የግዴታ ነው
apps/erpnext/erpnext/demo/setup/setup_data.py +316,Food,ምግብ
DocType: Asset,Total Number of Depreciations,Depreciations አጠቃላይ ብዛት
DocType: Packing Slip,Identification of the package for the delivery (for print),የማቅረብ ያለውን ጥቅል መታወቂያ (የህትመት ለ)
DocType: Vehicle,Policy No,መመሪያ የለም
DocType: Salary Component,Salary Component,ደመወዝ ክፍለ አካል
DocType: Item,"A Product or a Service that is bought, sold or kept in stock.",አንድ ምርት ወይም ገዙ ይሸጣሉ ወይም በስቶክ ውስጥ የተቀመጠ ነው አንድ አገልግሎት.
apps/erpnext/erpnext/accounts/report/payment_period_based_on_invoice_date/payment_period_based_on_invoice_date.py +65,Delay in payment (Days),ክፍያ መዘግየት (ቀኖች)
,Sales Order Trends,የሽያጭ ትዕዛዝ አዝማሚያዎች
DocType: Offer Letter,Offer Letter Terms,ደብዳቤ ውል አበርክቱ
DocType: HR Settings,Employee record is created using selected field. ,የተቀጣሪ መዝገብ የተመረጠው መስክ በመጠቀም የተፈጠረ ነው.
apps/erpnext/erpnext/hr/doctype/leave_application/leave_application.py +256,New Leave Application,አዲስ ፈቃድ ማመልከቻ
DocType: Asset,Depreciation Schedules,የእርጅና መርሐግብሮች
DocType: Company,Exchange Gain / Loss Account,የ Exchange ቅሰም / ማጣት መለያ
apps/erpnext/erpnext/manufacturing/doctype/production_order/production_order.js +128,Timesheet,Timesheet
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +166,Closed order cannot be cancelled. Unclose to cancel.,ዝግ ትዕዛዝ ተሰርዟል አይችልም. ለመሰረዝ Unclose.
DocType: Purchase Invoice,Rejected Warehouse,ውድቅ መጋዘን
DocType: Appraisal Template Goal,Appraisal Template Goal,ግምገማ አብነት ግብ
DocType: Fee Structure,Fee Structure,ክፍያ መዋቅር
apps/erpnext/erpnext/hr/doctype/process_payroll/process_payroll.py +275,Journal Entry Submitted,ጆርናል Entry ገብቷል
apps/erpnext/erpnext/accounts/general_ledger.py +21,Incorrect number of General Ledger Entries found. You might have selected a wrong Account in the transaction.,አጠቃላይ የሒሳብ መዝገብ ግቤቶች የተሳሳተ ቁጥር አልተገኘም. የ ግብይት የተሳሳተ መለያ የተመረጡ ሊሆን ይችላል.
DocType: Asset,Opening Accumulated Depreciation,ክምችት መቀነስ በመክፈት ላይ
DocType: Manufacturing Settings,Plan time logs outside Workstation Working Hours.,ከገቢር የሥራ ሰዓት ውጪ ጊዜ መዝገቦች ያቅዱ.
DocType: Bin,Moving Average Rate,አማካኝ ደረጃ በመውሰድ ላይ
DocType: Employee,Company Email,የኩባንያ ኢሜይል
DocType: Payment Gateway Account,Payment Gateway Account,ክፍያ ፍኖት መለያ
DocType: Student Group Creation Tool,Student Group Creation Tool,የተማሪ ቡድን የፈጠራ መሣሪያ
apps/erpnext/erpnext/manufacturing/doctype/production_planning_tool/production_planning_tool.py +233,{0} created,{0} ተፈጥሯል
DocType: Item,Inspection Required before Delivery,የምርመራው አሰጣጥ በፊት የሚያስፈልግ
DocType: Production Planning Tool,"If checked, Will include non-stock items in the Material Requests.","ከተመረጠ, ቁሳዊ ጥያቄዎች ውስጥ ያልሆኑ-የአክሲዮን ንጥሎች ያካትታል."
DocType: Attendance Tool Student,Attendance Tool Student,በስብሰባው መሳሪያ ተማሪ
DocType: Purchase Order Item Supplied,Purchase Order Item Supplied,ትዕዛዝ ንጥል አቅርቦት ይግዙ
apps/erpnext/erpnext/stock/doctype/stock_ledger_entry/stock_ledger_entry.py +97,Stock transactions before {0} are frozen,{0} በበረዶ በፊት የአክሲዮን ዝውውሮች
DocType: Employee Education,School/University,ትምህርት ቤት / ዩኒቨርስቲ
DocType: Expense Claim,Employees Email Id,ሰራተኞች ኢሜይል መታወቂያ
DocType: Territory,Classification of Customers by region,ክልል በ ደንበኞች መካከል ምደባ
DocType: Supplier,Last Day of the Next Month,ወደ ቀጣዩ ወር የመጨረሻ ቀን
DocType: BOM Operation,Base Hour Rate(Company Currency),የመሠረት ሰዓት ተመን (የኩባንያ የምንዛሬ)
DocType: Academic Term,Term Name,የሚለው ቃል ስም
apps/erpnext/erpnext/accounts/doctype/payment_reconciliation/payment_reconciliation.py +161,Row {0}: Allocated amount {1} must be less than or equals to Payment Entry amount {2},ረድፍ {0}: የተመደበ መጠን {1} ከ ያነሰ መሆን ወይም የክፍያ Entry መጠን ጋር እኩል መሆን አለበት {2}
,Serial No Warranty Expiry,ተከታታይ ምንም የዋስትና የሚቃጠልበት
apps/erpnext/erpnext/selling/doctype/sales_order/sales_order.py +145,Quotation {0} is cancelled,ጥቅስ {0} ተሰርዟል
DocType: Selling Settings,Validate Selling Price for Item against Purchase Rate or Valuation Rate,የግዢ Rate ወይም ግምቱ ተመን ላይ ንጥል ለ ሽያጭ ዋጋ Validate
apps/erpnext/erpnext/stock/report/stock_balance/stock_balance.py +51,Out Value,ውጪ ዋጋ
DocType: Authorization Rule,Itemwise Discount,Itemwise ቅናሽ
apps/erpnext/erpnext/setup/setup_wizard/setup_wizard.py +21,Setup Already Complete!!,ማዋቀር አስቀድሞ ሙሉ !!
DocType: Sales Partner,Sales Partner Name,የሽያጭ የአጋር ስም
,Budget Variance Report,በጀት ልዩነት ሪፖርት
apps/erpnext/erpnext/stock/report/stock_projected_qty/stock_projected_qty.py +20,Shortage Qty,እጥረት ብዛት
apps/erpnext/erpnext/templates/includes/cart.js +141,Something went wrong!,የሆነ ስህተት ተከስቷል!
apps/erpnext/erpnext/accounts/report/general_ledger/general_ledger.html +4,Statement of Account,መለያ መግለጫ
DocType: Sales Invoice,Commission,ኮሚሽን
DocType: Project User,Project User,የፕሮጀክት ተጠቃሚ
apps/erpnext/erpnext/config/stock.py +148,Upload stock balance via csv.,CSV በኩል የአክሲዮን ቀሪ ይስቀሉ.
DocType: Expense Claim Detail,Sanctioned Amount,ማዕቀብ መጠን
DocType: Student Applicant,AP,የ AP
DocType: Warranty Claim,Item and Warranty Details,ንጥል እና ዋስትና መረጃ
apps/erpnext/erpnext/stock/dashboard/item_dashboard.js +114,Available {0},ይገኛል {0}
apps/erpnext/erpnext/config/hr.py +80,Leave Allocation Tool,ምደባዎች መሣሪያ ውጣ
DocType: Company,Delete Company Transactions,ኩባንያ ግብይቶች ሰርዝ
apps/erpnext/erpnext/projects/doctype/project/project_dashboard.py +6,This is based on the Time Sheets created against this project,ይሄ በዚህ ፕሮጀክት ላይ የተፈጠረውን ጊዜ ሉሆች ላይ የተመሠረተ ነው
apps/erpnext/erpnext/stock/doctype/material_request/material_request_list.js +14,Transfered,ተዘዋውሯል
apps/erpnext/erpnext/accounts/doctype/pricing_rule/pricing_rule.js +12,"Pricing Rule is made to overwrite Price List / define discount percentage, based on some criteria.","የዋጋ ደ በአንዳንድ መስፈርቶች ላይ የተመሠረቱ, / ዋጋ ዝርዝር እንዲተኩ ቅናሽ መቶኛ ለመግለጽ ነው."
,Accounts Receivable Summary,መለያዎች የሚሰበሰብ ሂሳብ ማጠቃለያ
DocType: Employee Attendance Tool,Employees HTML,ተቀጣሪዎች ኤችቲኤምኤል
DocType: Item Website Specification,Item Website Specification,ንጥል የድር ጣቢያ ዝርዝር
apps/erpnext/erpnext/stock/doctype/serial_no/serial_no.py +197,{0} Serial Numbers required for Item {1}. You have provided {2}.,{0} ንጥል ያስፈልጋል መለያ ቁጥር {1}. ያቀረቡት {2}.
DocType: Process Payroll,Create Salary Slip,የቀጣሪ ፍጠር
DocType: Asset Movement,Stock Manager,የክምችት አስተዳዳሪ
apps/erpnext/erpnext/schools/doctype/fees/fees.js +41,Enter Paid Amount,የሚከፈልበት መጠን ያስገቡ
apps/erpnext/erpnext/manufacturing/doctype/bom/bom.py +75,Item: {0} does not exist in the system,ንጥል: {0} ሥርዓት ውስጥ የለም
DocType: Stock Entry,STE-,STE-
DocType: Journal Entry,Credit Note,የተሸጠ ዕቃ ሲመለስ የሚሰጥ ወረቀት
